TaxonID	3847
Variety	Williams82
Parent_1	Essex
Parent_2	Forrest
Journal	BioOne
Title	Genomic regions containing QTL for plant height, internodes length, and flower color in soybean [Glycine max (L.) Merr]
Flower color 1-1	Flower Color
Internode length 2-1	Internode length
Internode length 2-10	Internode length
Internode length 2-11	Internode length
Internode length 2-12	Internode length
Internode length 2-2	Internode length
Internode length 2-3	Internode length
Internode length 2-4	Internode length
Internode length 2-5	Internode length
Internode length 2-6	Internode length
Internode length 2-7	Internode length
Internode length 2-8	Internode length
Internode length 2-9	Internode length
Plant height 39-1	Plant Height
