TaxonID	3847
Variety	Williams82
Parent_1	Conrad
Parent_2	Hefeng 25
Title	Pyramided QTL underlying tolerance to Phytophthora root rot in mega-environments from soybean cultivars Conrad and Hefeng 25
Phytoph 6-1	Reaction to Phytophthora sojae infection
Phytoph 6-2	Reaction to Phytophthora sojae infection
Phytoph 6-3	Reaction to Phytophthora sojae infection
Phytoph 6-4	Reaction to Phytophthora sojae infection
Phytoph 6-5	Reaction to Phytophthora sojae infection
Phytoph 6-6	Reaction to Phytophthora sojae infection
Phytoph 6-7	Reaction to Phytophthora sojae infection
Phytoph 6-8	Reaction to Phytophthora sojae infection
