TaxonID	3847
Variety	Williams82
Parent_1	Keunolkong
Parent_2	Shinpaldalkong
Title	Mapping of putative quantitative trait loci controlling the total oligosaccharide and sucrose content of Glycine max seeds
Seed oligosaccharide 2-1	Seed soluble oligosaccharides
Seed oligosaccharide 2-2	Seed soluble oligosaccharides
Seed oligosaccharide 2-3	Seed soluble oligosaccharides
Seed oligosaccharide 2-4	Seed soluble oligosaccharides
Seed oligosaccharide 2-5	Seed soluble oligosaccharides
Seed oligosaccharide 2-6	Seed soluble oligosaccharides
Seed oligosaccharide 2-7	Seed soluble oligosaccharides
Seed sucrose 3-1	Seed sucrose content
Seed sucrose 3-2	Seed sucrose content
Seed sucrose 3-3	Seed sucrose content
Seed sucrose 3-4	Seed sucrose content
Seed sucrose 3-5	Seed sucrose content
Seed sucrose 3-6	Seed sucrose content
