TaxonID	3847
Variety	Williams82
Parent_1	Williams 82
Parent_2	PI 366121
Journal	Theoretical and Applied Genetics
Title	Detection of novel QTLs for foxglove aphid resistance in soybean
Foxglove aphid, primary damage, choice 1-1	Reaction to Aulacorthum solani, choice
Foxglove aphid, primary damage, choice 1-2	Reaction to Aulacorthum solani, choice
Foxglove aphid, primary damage, choice 1-3	Reaction to Aulacorthum solani, choice
Foxglove aphid, primary damage, choice 1-4	Reaction to Aulacorthum solani, choice
Foxglove aphid, primary damage, choice 1-5	Reaction to Aulacorthum solani, choice
Foxglove aphid, primary damage, choice 1-6	Reaction to Aulacorthum solani, choice
Foxglove aphid, primary damage, choice 1-7	Reaction to Aulacorthum solani, choice
Foxglove aphid, primary damage, no choice 1-1	Reaction to Aulacorthum solani, no choice
Foxglove aphid, primary damage, no choice 1-2	Reaction to Aulacorthum solani, no choice
Foxglove aphid, primary damage, no choice 1-3	Reaction to Aulacorthum solani, no choice
Foxglove aphid, total damage, choice 1-1	Reaction to Aulacorthum solani, choice
Foxglove aphid, total damage, choice 1-2	Reaction to Aulacorthum solani, choice
Foxglove aphid, total damage, choice 1-3	Reaction to Aulacorthum solani, choice
Foxglove aphid, total damage, no choice 1-1	Reaction to Aulacorthum solani, no choice
Foxglove aphid, total damage, no choice 1-2	Reaction to Aulacorthum solani, no choice
