TaxonID	3847
Variety	Williams82
Parent_1	Huapidou
Parent_2	Qihuang 26
Title	QTL Mapping of soybean resistance to whitefly (Bemisia tabaci Gennadius) under multi-environment conditions
Whitefly resistance 1-1	Reaction to Bemisia tabaci
Whitefly resistance 1-2	Reaction to Bemisia tabaci
Whitefly resistance 1-3	Reaction to Bemisia tabaci
Whitefly resistance 1-4	Reaction to Bemisia tabaci
Whitefly resistance 1-5	Reaction to Bemisia tabaci
Whitefly resistance 1-6	Reaction to Bemisia tabaci
Whitefly resistance 1-7	Reaction to Bemisia tabaci
Whitefly resistance 1-8	Reaction to Bemisia tabaci
