TaxonID	3920
Variety	Williams82
MappingPopulation	PI442031_x_Sterling
Parent	PI442031
Parent	Sterling
Journal	Crop Science
Year	2005
Volume	45
Pages	1441-1447
Title	Inheritance and genetic mapping of resistance to Rhizoctonia root and hypocotyl rot in soybean.
Rhizoc root and hypocot rot 1-1a	Reaction to Thanatephorus cucumeris infection
Rhizoc root and hypocot rot 1-1b	Reaction to Thanatephorus cucumeris infection
Rhizoc root and hypocot rot 1-2a	Reaction to Thanatephorus cucumeris infection
Rhizoc root and hypocot rot 1-2b	Reaction to Thanatephorus cucumeris infection
Rhizoc root and hypocot rot 1-3a	Reaction to Thanatephorus cucumeris infection
Rhizoc root and hypocot rot 1-3b	Reaction to Thanatephorus cucumeris infection
